click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
56,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,5,1,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
57,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,5,1,1,0.6,0.7,0.65,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
58,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,5,1,1,0.6,0.7,0.65,0.4,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
59,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,5,1,1,0.6,0.7,0.65,0.4,0.65,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
0,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,0,1,5,,,,,,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
1,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,0,1,5,1,1,,,,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
2,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,0,1,5,1,1,0.47,0.88,0.81,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
3,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,0,1,5,1,1,0.47,0.88,0.81,0.37,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
4,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,0,1,5,1,1,0.47,0.88,0.81,0.37,0.68,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
5,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,5,,,,,,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
6,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,5,1,0,,,,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
7,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,5,1,0,0.75,0.34,0.52,,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
8,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,5,1,0,0.75,0.34,0.52,0.65,,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
9,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,5,1,0,0.75,0.34,0.52,0.65,0.16,,English,22,Male,3,Firefox,Windows,1080,1920,2014,Gold,"100-1,000",2-Jan,121-150,0,0,0.29,0.7,8.526833333,2
