click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,background_RT,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,time_in_minutes,participant_id,criteria_early,criteria_late,hierarch_early,hierarch_late
53,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.77,0.65,0.65,,52.304,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
54,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.77,0.65,0.65,0.58,30.408,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
55,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,1,1,,,,,,,,30.408,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
56,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,1,1,1,1,,,,,,30.408,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
57,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,1,1,1,1,0.77,0.91,0.64,,,30.408,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
58,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,1,1,1,1,0.77,0.91,0.64,0.74,,30.408,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
59,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,1,1,1,1,0.77,0.91,0.64,0.74,0.65,29.616,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
0,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,1,0,,,,,,,,,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
1,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,1,0,1,1,,,,,,,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
2,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,1,0,1,1,0.5,0.33,0.65,,,,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
3,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,1,0,1,1,0.5,0.33,0.65,0.8,,,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
4,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,1,1,0,1,1,0.5,0.33,0.65,0.8,0.8,123.78,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
5,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,0,,,,,,,,123.78,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
6,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,0,1,1,,,,,,123.78,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
7,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,0,1,1,0.71,0.71,0.82,,,123.78,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
8,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,0,1,1,0.71,0.71,0.82,0.43,,123.78,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
9,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,0,1,1,0.71,0.71,0.82,0.43,0.8,157.358,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
10,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,0,0,,,,,,,,157.358,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
11,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,0,0,1,0,,,,,,157.358,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
12,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,0,0,1,0,0.58,0.44,0.5,,,157.358,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
13,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,0,0,1,0,0.58,0.44,0.5,0.33,,157.358,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
14,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,0,0,1,0,0.58,0.44,0.5,0.33,0.26,54.735,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
15,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,0,,,,,,,,54.735,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
16,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,0,1,1,,,,,,54.735,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
17,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,0,1,1,0.62,0.86,0.68,,,54.735,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
18,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,0,1,1,0.62,0.86,0.68,0.79,,54.735,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
19,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,0,1,1,0.62,0.86,0.68,0.79,0.92,51.674,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
20,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,0,,,,,,,,51.674,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
21,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,0,1,1,,,,,,51.674,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
22,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,0,1,1,0.75,0.75,0.55,,,51.674,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
23,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,0,1,1,0.75,0.75,0.55,0.36,,51.674,English,20,Female,1,43.177,Chrome,Windows,720,1280,0,-1,-1,-1,-1,13.2437,4,,,,
